NAME,B01001_001E,state,county,tract,block group
Block Group 1; Census Tract 9107.09; Carroll County; Georgia,1133,13,045,910709,1
Block Group 2; Census Tract 9107.09; Carroll County; Georgia,1308,13,045,910709,2
Block Group 3; Census Tract 9107.09; Carroll County; Georgia,1581,13,045,910709,3
Block Group 1; Census Tract 9108; Carroll County; Georgia,2001,13,045,910800,1
Block Group 2; Census Tract 9108; Carroll County; Georgia,819,13,045,910800,2
Block Group 3; Census Tract 9108; Carroll County; Georgia,1150,13,045,910800,3
Block Group 1; Census Tract 9109; Carroll County; Georgia,2390,13,045,910900,1
Block Group 2; Census Tract 9109; Carroll County; Georgia,1736,13,045,910900,2
Block Group 1; Census Tract 9110.01; Carroll County; Georgia,1979,13,045,911001,1
Block Group 2; Census Tract 9110.01; Carroll County; Georgia,1542,13,045,911001,2
Block Group 1; Census Tract 9110.02; Carroll County; Georgia,864,13,045,911002,1
Block Group 2; Census Tract 9110.02; Carroll County; Georgia,2414,13,045,911002,2
Block Group 1; Census Tract 9111.01; Carroll County; Georgia,1033,13,045,911101,1
Block Group 2; Census Tract 9111.01; Carroll County; Georgia,1862,13,045,911101,2
Block Group 3; Census Tract 9111.01; Carroll County; Georgia,1143,13,045,911101,3
Block Group 4; Census Tract 9111.01; Carroll County; Georgia,1110,13,045,911101,4
Block Group 1; Census Tract 9111.02; Carroll County; Georgia,1075,13,045,911102,1
Block Group 2; Census Tract 9111.02; Carroll County; Georgia,1742,13,045,911102,2
Block Group 1; Census Tract 9112.01; Carroll County; Georgia,1192,13,045,911201,1
Block Group 2; Census Tract 9112.01; Carroll County; Georgia,870,13,045,911201,2
Block Group 1; Census Tract 9112.02; Carroll County; Georgia,1942,13,045,911202,1
Block Group 2; Census Tract 9112.02; Carroll County; Georgia,932,13,045,911202,2
Block Group 1; Census Tract 901.01; Cherokee County; Georgia,1933,13,057,090101,1
Block Group 2; Census Tract 901.01; Cherokee County; Georgia,2101,13,057,090101,2
Block Group 3; Census Tract 901.01; Cherokee County; Georgia,934,13,057,090101,3
Block Group 1; Census Tract 901.02; Cherokee County; Georgia,2071,13,057,090102,1
Block Group 2; Census Tract 901.02; Cherokee County; Georgia,1099,13,057,090102,2
Block Group 3; Census Tract 901.02; Cherokee County; Georgia,1794,13,057,090102,3
Block Group 1; Census Tract 901.03; Cherokee County; Georgia,2067,13,057,090103,1
Block Group 1; Census Tract 902.01; Cherokee County; Georgia,843,13,057,090201,1
Block Group 2; Census Tract 902.01; Cherokee County; Georgia,1383,13,057,090201,2
Block Group 1; Census Tract 902.02; Cherokee County; Georgia,3193,13,057,090202,1
Block Group 2; Census Tract 902.02; Cherokee County; Georgia,2266,13,057,090202,2
Block Group 3; Census Tract 902.02; Cherokee County; Georgia,1670,13,057,090202,3
Block Group 1; Census Tract 903.01; Cherokee County; Georgia,2417,13,057,090301,1
Block Group 2; Census Tract 903.01; Cherokee County; Georgia,2058,13,057,090301,2
Block Group 3; Census Tract 903.01; Cherokee County; Georgia,833,13,057,090301,3
Block Group 1; Census Tract 903.02; Cherokee County; Georgia,1140,13,057,090302,1
Block Group 2; Census Tract 903.02; Cherokee County; Georgia,1226,13,057,090302,2
Block Group 1; Census Tract 903.03; Cherokee County; Georgia,1985,13,057,090303,1
